2021-05-24T18:29:32.268Z [AUDIT] Token created by 'anonymous': tokenId='3fb38e2c-fb37-45a8-9da1-70205c169dd2', issuer='jfrou@01f6ft75775hxz7qa056h19aer', subject='jfrou@01f6ft75775hxz7qa056h19aer', expiry=none, refreshable=false
2021-05-24T18:29:33.230Z [AUDIT] Token created by 'anonymous': tokenId='ba34506e-80e7-4fcd-b18f-811b512f637c', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881093217, refreshable=false
2021-05-24T18:29:33.372Z [AUDIT] Token created by 'anonymous': tokenId='3e99b315-862d-43aa-ad67-b6157805173a', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881093367, refreshable=false
2021-05-24T18:29:33.591Z [AUDIT] Token created by 'anonymous': tokenId='45a77810-69bb-4cae-9487-ed52d09ca99d', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881093589, refreshable=false
2021-05-24T18:29:34.004Z [AUDIT] Token created by 'anonymous': tokenId='c3083280-c309-4e60-ac8c-3ed9ade39066', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881094000, refreshable=false
2021-05-24T18:29:34.815Z [AUDIT] Token created by 'anonymous': tokenId='ee2e7265-25dd-402d-88d1-f1996913436c', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881094811, refreshable=false
2021-05-24T18:29:34.906Z [AUDIT] Token created by 'anonymous': tokenId='a05d0280-5c26-440b-a630-72cbaf865615', issuer='jfmd@01f6ft76j7q5md8pfqpzbtepvc', subject='jfmd@01f6ft76j7q5md8pfqpzbtepvc', expiry=none, refreshable=false
2021-05-24T18:29:38.501Z [AUDIT] Token created by 'anonymous': tokenId='8568a1f4-5682-4ade-bbd8-78a05e825ff9', issuer='jfrt@01f6ft7ekqm49x1q1bfp281drq', subject='jfrt@01f6ft7ekqm49x1q1bfp281drq', expiry=none, refreshable=false
2021-05-24T18:29:39.966Z [AUDIT] Token created by 'jfrt@01f6ft7ekqm49x1q1bfp281drq': tokenId='8ee5fbf0-76b4-4760-a188-8ff26301f5aa', issuer='jfrt@01f6ft7ekqm49x1q1bfp281drq', subject='jfrt@01f6ft7ekqm49x1q1bfp281drq', expiry=2567960979962, refreshable=false
2021-05-24T18:29:46.542Z [AUDIT] Token created by 'anonymous': tokenId='a08fdcf4-2e9a-4740-a10d-b255f11a4a07', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-05-24T18:29:46.611Z [AUDIT] Token created by 'jffe@000': tokenId='f4ef1507-acf9-408d-bdaf-113e6a755c1a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1621881586611, refreshable=false
2021-05-24T18:30:03.032Z [AUDIT] Token created by 'jffe@000': tokenId='b47e0ef3-2a75-410c-8f91-717c0f228c1b', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1621881603032, refreshable=false
2021-05-24T18:30:03.035Z [AUDIT] Token created by 'jffe@000': tokenId='56146510-81e5-4816-ad52-db8d6ab07bcf', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1621881603035, refreshable=false
2021-05-24T18:30:03.055Z [AUDIT] Token created by 'jffe@000': tokenId='e8f853d2-b283-481c-bdb9-cd3d8c8f5a6d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1621881603054, refreshable=false
2021-05-24T18:30:03.061Z [AUDIT] Token created by 'jffe@000': tokenId='f3a23c93-7ef0-43c4-8ce4-b9e7df84ac54', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1621881603049, refreshable=false
2021-05-24T18:30:56.367Z [AUDIT] Token created by 'jffe@000': tokenId='b39129dd-7649-4fd6-b7a6-67eaa0f8ddb1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621882856365, refreshable=true
2021-05-24T18:30:56.500Z [AUDIT] Token created by 'jffe@000': tokenId='3603d92e-21d7-4a2c-a47c-8e0b7fb50e62', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881656499, refreshable=false
2021-05-24T18:30:56.505Z [AUDIT] Token created by 'jffe@000': tokenId='f41389e1-161a-44d5-bfaa-851e475e824f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881656504, refreshable=false
2021-05-24T18:30:56.517Z [AUDIT] Token created by 'jffe@000': tokenId='692deea7-dede-40bf-a157-df0c6e29ecc9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881656516, refreshable=false
2021-05-24T18:30:57.267Z [AUDIT] Token created by 'jffe@000': tokenId='21166dab-316c-40af-8fac-12b9ed3e5bec', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881657267, refreshable=false
2021-05-24T18:36:29.658Z [AUDIT] Token created by 'jffe@000': tokenId='9e318caa-fc3d-4693-b6e7-17d8d05f4c71', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621883189656, refreshable=true
2021-05-24T18:36:29.740Z [AUDIT] Token created by 'jffe@000': tokenId='71bfa9ce-fc31-4f41-acfd-16cc3e8f1ccb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881989739, refreshable=false
2021-05-24T18:36:29.767Z [AUDIT] Token created by 'jffe@000': tokenId='c5b9bb98-5b9b-4e85-ae9b-940f7ddb0f06', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881989767, refreshable=false
2021-05-24T18:36:29.776Z [AUDIT] Token created by 'jffe@000': tokenId='8104cf16-f9dc-4b22-a413-a409799f8cd0', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1621881989776, refreshable=false
2021-05-24T18:43:35.300Z [AUDIT] Token created by 'anonymous': tokenId='ad0e1e7d-42c4-4925-bd39-e8058fccb1ac', issuer='jfrou@01f6ft75775hxz7qa056h19aer', subject='jfrou@01f6ft75775hxz7qa056h19aer', expiry=none, refreshable=false
2021-05-24T18:43:40.270Z [AUDIT] Token created by 'anonymous': tokenId='f4452e04-41ca-417e-b32a-7d5a6b10bc05', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881940261, refreshable=false
2021-05-24T18:43:40.403Z [AUDIT] Token created by 'anonymous': tokenId='def44990-56a1-4147-9cee-52f6918e3c76', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881940401, refreshable=false
2021-05-24T18:43:40.630Z [AUDIT] Token created by 'anonymous': tokenId='0937dd0b-731b-45f6-812a-047602a5df0b', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881940623, refreshable=false
2021-05-24T18:43:41.057Z [AUDIT] Token created by 'anonymous': tokenId='75eb16a6-d7ff-41e3-b303-b4c953b69904', issuer='jfac@01f6ft6zfydn0r1pqxa3t11gvr', subject='jfac@01f6ft6zfydn0r1pqxa3t11gvr', expiry=1621881941053, refreshable=false
2021-05-24T18:43:41.656Z [AUDIT] Token created by 'anonymous': tokenId='1d239314-6d40-4980-bf03-8bb5ebd06b8f', issuer='jfmd@01f6ft76j7q5md8pfqpzbtepvc', subject='jfmd@01f6ft76j7q5md8pfqpzbtepvc', expiry=none, refreshable=false
2021-05-24T18:43:42.555Z [AUDIT] Token created by 'anonymous': tokenId='54dec154-b15d-47ee-88db-4c53b6a86b9f', issuer='jfrt@01f6ft7ekqm49x1q1bfp281drq', subject='jfrt@01f6ft7ekqm49x1q1bfp281drq', expiry=none, refreshable=false
2021-05-24T18:43:46.308Z [AUDIT] Token created by 'jfrt@01f6ft7ekqm49x1q1bfp281drq': tokenId='a41aa17a-9089-4ba8-a669-b040f3ed27c3', issuer='jfrt@01f6ft7ekqm49x1q1bfp281drq', subject='jfrt@01f6ft7ekqm49x1q1bfp281drq', expiry=2567961826306, refreshable=false
2021-05-24T18:43:55.074Z [AUDIT] Token created by 'anonymous': tokenId='ece8e97d-b0e5-458b-a688-c5974da350cb', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-05-24T18:43:55.130Z [AUDIT] Token created by 'jffe@000': tokenId='3e70011b-c775-4fbe-a11a-3459d4427a11', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1621882435129, refreshable=false
